Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Banksia paludosa Green Cape,C,moderate coastal exposure,beautifully exposed candle display bird attracting - compact small feature,,moist well drained site,usually tolerates dry periods,yellow cones in autumn & winter,frost hardy,,,0.75,prefers full sun,,prefers sandy soils,,,1.2,wind resistant,"Banksia paludosa Green Cape is well-regarded for beautifully exposed candle display bird attracting - compact small feature. It showcases yellow cones in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.75 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia pilostylis,C,moderate coastal exposure,good bird attracting plant prune frequently,,very good drainage,drought tolerant,yellowy green cones in spring & summer,frost hardy,,,1.5,prefers full sun,,prefers sandy soils,,,2.0,some wind protection,"Banksia pilostylis is well-regarded for good bird attracting plant prune frequently. It showcases yellowy green cones in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia robur,C,moderate coastal exposure,small feature with clustered cones very large leaves - also bird attracting,Swamp Banksia,moist well drained site,usually tolerates dry periods,yellowy green cones in spring,frost hardy,,,1.7,prefers full sun,,prefers sandy soils,,,1.5,protect from strong winds,"Banksia robur is well-regarded for small feature with clustered cones very large leaves - also bird attracting. It showcases yellowy green cones in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia serrata,C,moderate coastal exposure,avenue feature tree with large cones tall screen - attracts birds - cut flowers,Sisters Hills Banksia,very good drainage,drought tolerant,large yellow cones in spring & summer,frost hardy,,,6.0,prefers full sun,,prefers sandy soils,T,,4.0,wind resistant,"Sisters Hills Banksia is a remarkable plant admired for avenue feature tree with large cones tall screen - attracts birds - cut flowers. It showcases large yellow cones in spring & summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 6.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia speciosa,C,moderate coastal exposure,bird attracting & lovely avenue feature used for cut flowers,Showy Banksia,very good drainage,drought tolerant,large yellow cones in summer & autumn,light frosts only,,,4.0,prefers full sun,,prefers sandy soils,,,3.5,wind resistant,"Known for its bird attracting & lovely avenue feature used for cut flowers, Showy Banksia makes an excellent addition to any garden. bird attracting & lovely avenue feature used for cut flowers. It showcases large yellow cones in summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 4.0 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia spinulosa,C,moderate coastal exposure,a lovely small feature or screen very good bird attracting plant,Hairpin Banksia,moist well drained site,usually tolerates dry periods,yellowy orange cones autumn & winter,frost hardy,,,2.5,prefers full sun,,light clay to sandy soils,,,2.5,wind resistant,"Hairpin Banksia is a remarkable plant admired for a lovely small feature or screen very good bird attracting plant. It showcases yellowy orange cones autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia spinulosa dwarf,C,moderate coastal exposure,a lovely small feature very good bird attracting plant,,moist well drained site,usually tolerates dry periods,yellowy orange cones autumn & winter,frost hardy,,,1.5,prefers full sun,,light clay to sandy soils,,,1.5,wind resistant,"Gardeners often choose Banksia spinulosa dwarf for a lovely small feature very good bird attracting plant. It showcases yellowy orange cones autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia spinulosa var. collina,C,moderate coastal exposure,a lovely small feature or screen very good bird attracting plant,Hill Banksia,moist well drained site,usually tolerates dry periods,yellowy orange cones autumn & winter,frost hardy,,,2.5,prefers full sun,,light clay to sandy soils,,,2.5,wind resistant,"Gardeners often choose Hill Banksia for a lovely small feature or screen very good bird attracting plant. It showcases yellowy orange cones autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.5 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Bauera sessiliflora,,mild coastal sites,prune for a low dense screen,Grampian's Bauera,tolerates wet sites,usually moisture reliant,vivid pinky purple flower in winter & spring,very frost & snow hardy,,,2.0,dappled shade,D,light clay to sandy soils,,W,3.0,wind resistant,"Grampian's Bauera (Bauera sessiliflora) is recognized for prune for a low dense screen. It showcases vivid pinky purple flower in winter & spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Beaufortia sparsa,,mild coastal sites,vivid brushes - also bird attracting,Gravel Bottlebrush,moist well drained site,usually moisture reliant,reddish orange brushes in summer,frost hardy,,,1.7,prefers full sun,,light clay to sandy soils,,,1.5,wind resistant,"Gravel Bottlebrush is a remarkable plant admired for vivid brushes - also bird attracting. It showcases reddish orange brushes in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 1.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Isotoma axillaris,,mild coastal sites,container or border plant self seeds in a garden,Rock Isotome,good drainage,usually moisture reliant,large blue stars in summer & autumn,frost hardy,,,0.3,prefers full sun,,prefers sandy soils,,,0.4,some wind protection,"Rock Isotome is a remarkable plant admired for container or border plant self seeds in a garden. It showcases large blue stars in summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
